term-or-expression,explicit-or-implicit,en-american-english,en-contextual-label,en-hate-label
term,explicit,scammer,1.0,partyism
term,explicit,criminal,0.0,0
term,explicit,get fucked,1.0,0
term,explicit,drunktard,1.0,0
term,explicit,selfish,1.0,0
term,explicit,shame,1.0,0
term,explicit,vulture,0.0,0
term,explicit,jail,1.0,0
term,explicit,Beelzebub,0.0,0
term,explicit,oldie,1.0,0
term,explicit,0,1.0,partyism
term,explicit,satan,0.0,0
term,explicit,thug,0.0,0
expression,explicit,got what one deserved,0.0,0
expression,explicit,you rat,1.0,0
term,explicit,plague,0.0,0
term,explicit,wimp,0.0,0
term,explicit,blind fool,1.0,0
term,explicit,blind fool,1.0,0
term,explicit,hell,0.0,0
term,explicit,alienated,0.0,0
term,explicit,donkey,0.0,0
term,explicit,slut,1.0,sexism
term,explicit,garbage,0.0,0
term,explicit,retard,0.0,0
term,explicit,nazifascit,1.0,partyism
term,explicit,brainlesss,0.0,0
term,explicit,liar,1.0,0
term,explicit,mollusk,0.0,0
term,explicit,retard,0.0,0
term,explicit,retard,0.0,0
expression,explicit,stupid person,1.0,0
expression,explicit,fucker,1.0,0
term,explicit,jerk,1.0,0
term,explicit,jerk,1.0,0
term,explicit,thug,1.0,0
term,explicit,thug,1.0,0
term,explicit,mafia,1.0,0
term,explicit,pustule,0.0,0
expression,explicit,backfire,1.0,0
expression,explicit,corpse,0.0,0
term,explicit,brat,1.0,0
term,explicit,spoiled,1.0,0
term,explicit,witch,0.0,sexism
term,explicit,antichrist,0.0,0
term,explicit,anti-christ,0.0,0
expression,explicit,red ideologist,0.0,0
term,explicit,slut,0.0,sexism
expression,explicit,worthless,1.0,0
term,explicit,fuckery,1.0,sexism
term,explicit,little brat,1.0,0
term,explicit,hunch,0.0,0
expression,explicit,jibber jabber,0.0,0
term,explicit,libtard,1.0,partyism
expression,explicit,pawns,1.0,0
term,explicit,smug,1.0,0
term,explicit,babe,1.0,sexism
term,explicit,puppet,0.0,0
term,explicit,dull,1.0,0
expression,explicit,sheepskin,1.0,0
expression,explicit,ass-kissing,1.0,0
expression,explicit,ass kisser ,1.0,0
expression,explicit,ass kisser ,1.0,0
term,explicit,bolsofans,1.0,partyism
term,explicit,stupid,1.0,0
term,explicit,stupidly,1.0,0
term,explicit,fake,1.0,0
expression,explicit,bolster,0.0,0
expression,explicit,bolstering,0.0,0
term,explicit,pig,0.0,fatphobia
term,explicit,pig,0.0,fatphobia
term,explicit,piggy,0.0,fatphobia
term,explicit,twink,0.0,0
expression,explicit,light-headed,1.0,0
term,explicit,broken,0.0,0
expression,explicit,to get yourself into,1.0,0
expression,explicit,born with a silver spoon in,0.0,0
expression,explicit,scapegoat,1.0,0
expression,explicit,reckless,0.0,0
term,explicit,crap,1.0,0
expression,explicit,waste time ,0.0,0
expression,explicit,talk of the town,0.0,0
expression,explicit,push one's buttons,0.0,0
expression,explicit,i've had it ,0.0,0
expression,explicit,iPhone-stan socilalist,1.0,partyism
term,explicit,blind,1.0,0
term,explicit,blind,1.0,0
term,explicit,poor man,1.0,0
term,explicit,poor woman,1.0,0
term,explicit,libtard,1.0,partyism
term,explicit,reckless,1.0,0
expression,explicit,not giving a fuck,1.0,0
term,explicit,ugh,1.0,0
term,explicit,sucker,1.0,0
expression,explicit,dumb,0.0,0
term,explicit,stupid teenagers,1.0,0
term,explicit,play dirty,1.0,0
term,explicit,trashdigger,1.0,0
expression,explicit,puppet,1.0,0
term,explicit,nosey kid,1.0,0
expression,explicit,nose in the air,1.0,0
expression,explicit,nosing in the air,1.0,0
expression,explicit,nose in the air,1.0,0
term,explicit,dumb luck,0.0,0
expression,explicit,ass kisser,0.0,0
expression,explicit,dumbass,1.0,0
term,explicit,it-girl,1.0,0
term,explicit,fat,1.0,fatphobia
expression,explicit,fucking annoying,1.0,0
expression,explicit,lingerer ,0.0,0
term,explicit,spoiled,1.0,0
expression,explicit,jibber jabber,0.0,0
expression,explicit,jibber jabber,0.0,0
term,explicit,botcher,1.0,0
term,explicit,botcher,1.0,0
term,explicit,light-footed,0.0,0
term,explicit,dumb,0.0,0
term,explicit,fake,1.0,0
term,explicit,absurd,0.0,0
expression,explicit,tattletale,1.0,0
expression,explicit,jibber jabber,1.0,0
term,explicit,vulture,1.0,0
term,explicit,selfish,1.0,0
term,explicit,despise,1.0,0
term,explicit,despise,1.0,0
term,explicit,sheep,0.0,0
expression,explicit,sheep,0.0,0
term,explicit,ugly,1.0,0
term,explicit,ugly,1.0,0
term,explicit,pettiness,0.0,0
term,explicit,fuckery,0.0,0
term,explicit,clown,0.0,0
term,explicit,clown,0.0,0
expression,explicit,ventriloquist puppet,0.0,0
term,explicit,off,1.0,0
term,explicit,off,1.0,0
term,explicit,wimp,1.0,0
expression,explicit,schnoz,1.0,0
expression,explicit,prude,1.0,0
expression,explicit,this kind of people,0.0,0
expression,explicit,this kind of people,0.0,0
term,explicit,posh,1.0,0
term,explicit,ignorant,1.0,0
term,explicit,posh,1.0,0
term,explicit,worthless,0.0,0
expression,explicit,fuck ugly,1.0,0
expression,explicit,fuck ugly,1.0,0
term,explicit,scammer,1.0,0
term,explicit,bastard,1.0,0
expression,explicit,jerk,1.0,0
term,explicit,bitch,0.0,sexism
term,explicit,leftist,1.0,partyism
expression,explicit,go get a life,0.0,0
expression,explicit,holy fuck,1.0,0
expression,explicit,holy fuck,1.0,0
term,explicit,pussy,1.0,partyism
expression,explicit,you selfish fuck,1.0,0
term,explicit,prick,1.0,0
term,explicit,prick,1.0,0
expression,explicit,con,1.0,0
expression,explicit,scramming,1.0,0
expression,explicit,con,1.0,0
expression,explicit,spineless,1.0,0
expression,explicit,free ride long enough,1.0,0
term,explicit,scammer,1.0,0
term,explicit,scam,1.0,0
term,explicit,butch,1.0,homophobia
term,explicit,dyke,0.0,homophobia
term,explicit,fuckery,1.0,0
term,explicit,hog body,1.0,fatphobia
term,explicit,beat off,0.0,0
term,explicit,shameless,1.0,0
term,explicit,shameless,1.0,0
term,explicit,bitch,0.0,sexism
expression,explicit,mud,0.0,0
term,explicit,pig,0.0,fatphobia
term,explicit,pig,0.0,fatphobia
expression,explicit,mind your own business,1.0,0
term,explicit,horrendous,1.0,0
term,explicit,horrendous,1.0,0
term,explicit,dirtbag,0.0,0
term,explicit,dirtbag,0.0,0
term,explicit,fake,0.0,0
term,explicit,fake,0.0,0
expression,explicit,fuck you,1.0,0
expression,explicit,drop dead,1.0,0
expression,explicit,ideological garbage,1.0,partyism
term,explicit,bitch,0.0,sexism
term,explicit,even a big bitch,1.0,sexism
term,explicit,demagogue,0.0,0
term,explicit,demagogue,0.0,0
term,explicit,demagogy,0.0,0
term,explicit,drunktard,1.0,0
expression,explicit,old fox,1.0,0
expression,explicit,birds of a feather,1.0,0
expression,explicit,birds of a feather,1.0,0
term,explicit,scam,1.0,0
expression,explicit,viper,1.0,0
term,explicit,pity,0.0,0
term,explicit,breeze through,1.0,0
term,explicit,bribe,1.0,0
term,explicit,bribe sucker,1.0,0
term,explicit,loathsome,1.0,0
expression,explicit,deceiver,0.0,0
term,explicit,slut,1.0,sexism
term,explicit,bitch,1.0,sexism
term,explicit,bitch,1.0,0
term,explicit,sly,1.0,0
term,explicit,phoney,1.0,0
term,explicit,phoney,1.0,0
term,explicit,disqualified,0.0,0
term,explicit,disqualified,0.0,0
term,explicit,liar,1.0,0
term,explicit,rat,0.0,0
term,explicit,scammer,1.0,0
term,explicit,scumbag,1.0,0
term,explicit,sly,1.0,0
term,explicit,sly,1.0,0
term,explicit,devil,0.0,0
term,explicit,trash bag,1.0,0
term,explicit,rotter,1.0,0
term,explicit,whore,0.0,sexism
expression,explicit,devilish leftists,1.0,partyism
term,explicit,old,0.0,0
term,explicit,cuckoo,1.0,0
expression,explicit,be with your own people,0.0,0
expression,explicit,scammer,1.0,0
term,explicit,crazy,0.0,0
term,explicit,crazy,0.0,0
expression,explicit,fucking socialist,1.0,partyism
term,explicit,jibber jabber,0.0,0
expression,explicit,old bitch,1.0,sexism
term,explicit,yuck,1.0,0
term,explicit,sick,0.0,0
expression,explicit,0,1.0,0
term,explicit,kid,0.0,0
term,explicit,jungle,0.0,0
term,explicit,asshole,1.0,0
term,explicit,scram,0.0,0
term,explicit,0,1.0,partyism
term,explicit,0,1.0,partyism
expression,explicit,low-level,0.0,0
expression,explicit,beat it,0.0,0
term,explicit,traitor,1.0,0
term,explicit,loser,1.0,0
term,explicit,loser,1.0,0
expression,explicit,scammer,1.0,0
expression,explicit,do something useful,0.0,0
term,explicit,0,0.0,0
term,explicit,crass,1.0,0
term,explicit,crass,1.0,0
term,explicit,monster,0.0,0
term,explicit,coockoo,1.0,0
expression,explicit,cockooo,1.0,0
term,explicit,lunatic,0.0,0
term,explicit,beast,1.0,0
term,explicit,beast,1.0,0
term,explicit,disrespectful,0.0,0
expression,explicit,serve time,0.0,0
term,explicit,stupid things,1.0,0
term,explicit,stupid things,0.0,0
term,explicit,shit,0.0,0
expression,explicit,trash talker,1.0,0
term,explicit,fucker,1.0,0
expression,explicit,shit move,1.0,0
expression,explicit,shit in your mouth,1.0,0
term,explicit,0,1.0,partyism
term,explicit,0,0.0,partyism
term,explicit,combative,1.0,0
term,explicit,piece of junk,1.0,0
term,explicit,imbecile,1.0,0
expression,explicit,shut up,1.0,0
term,explicit,sociopath,0.0,0
expression,explicit,trashmouth,0.0,0
expression,explicit,this creature,0.0,0
term,explicit,beef,0.0,0
term,explicit,xenophobic,0.0,0
term,explicit,0,1.0,partyism
term,explicit,burlesque,0.0,0
expression,explicit,horseplay,1.0,0
term,explicit,nazi,0.0,0
term,explicit,horse,0.0,0
term,explicit,minions,0.0,partyism
term,explicit,manipulator,1.0,0
term,explicit,manipulator,1.0,0
term,explicit,wimp,1.0,0
term,explicit,0,1.0,partyism
term,explicit,cuckservative,1.0,partyism
expression,explicit,talking shit,1.0,0
expression,explicit,shit through the mouth,1.0,0
term,explicit,evil,1.0,0
term,explicit,jealous,1.0,0
term,explicit,jealous,1.0,0
term,explicit,authoritarian,0.0,0
term,explicit,authoritarian,0.0,0
term,explicit,distasteful,0.0,0
term,explicit,dull,1.0,0
term,explicit,murderer,1.0,0
term,explicit,murderer,1.0,0
term,explicit,dick,0.0,0
term,explicit,pussy,1.0,0
term,explicit,whorehouse,0.0,sexism
term,explicit,stupid,0.0,0
term,explicit,0,1.0,partyism
term,explicit,terrorist,1.0,0
term,explicit,torturer,1.0,0
term,explicit,fool,1.0,0
expression,explicit,die in the arse ,1.0,0
term,explicit,moron,1.0,0
term,explicit,despicable,1.0,0
term,explicit,jealous,1.0,0
term,explicit,jealous,1.0,0
expression,explicit,to kiss (someone's) ass,1.0,0
expression,explicit,bad thing,1.0,0
expression,explicit,evil,0.0,0
expression,explicit,obnoxious,1.0,0
expression,explicit,sewer rat,0.0,0
expression,explicit,burn in hell,1.0,0
term,explicit,scammer,1.0,0
term,explicit,supreme court of trash,1.0,0
term,explicit,fraud,1.0,0
expression,explicit,bound to death,1.0,0
expression,explicit,Martial law,0.0,apology  to  dictatorship
expression,explicit,military intervention right away,1.0,0
term,explicit,vulture,0.0,0
term,explicit,dirty hole,0.0,0
term,explicit,little lawyer,1.0,0
expression,explicit,legal con,1.0,0
expression,explicit,asshole,1.0,0
expression,explicit,drilling down,1.0,0
term,explicit,white collar,1.0,0
term,explicit,white collar,1.0,0
term,explicit,infamy,1.0,0
expression,explicit,military intervention in the supreme court,1.0,apology  to  dictatorship
expression,explicit,go to hell,1.0,0
term,explicit,toilet paper ,1.0,0
expression,explicit,fucking twats,1.0,0
expression,explicit,bad blood,1.0,0
term,explicit,0,1.0,partyism
term,explicit,piece of shit,1.0,0
term,explicit,sewer,0.0,0
term,explicit,scam ,1.0,0
term,explicit,tabloid,1.0,0
term,explicit,gang leader,0.0,0
term,explicit,scammer,1.0,0
expression,explicit,government intervention,0.0,apology  to  dictatorship
expression,explicit,scared shitless,1.0,0
term,explicit,dog,0.0,0
term,explicit,dumb woke people,1.0,0
term,explicit,wimp,0.0,0
term,explicit,hellhole,0.0,0
expression,explicit,0,1.0,partyism
term,explicit,mercenary,1.0,0
term,explicit,lair ,0.0,0
term,explicit,snake,0.0,0
term,explicit,thug,0.0,0
term,explicit,beat,1.0,0
term,explicit,puppet,0.0,0
expression,explicit,whinig,1.0,0
term,explicit,obnoxious,1.0,0
term,explicit,obnoxious,1.0,0
expression,explicit,fuck up,1.0,0
term,explicit,actress,0.0,0
term,explicit,actor,0.0,0
term,explicit,hysterical,0.0,sexism
term,explicit,hysterical,0.0,0
term,explicit,stooge,0.0,0
term,explicit,stooge,0.0,0
expression,explicit,jibber jabber,1.0,0
expression,explicit,jibber jabber,1.0,0
expression,explicit,breaking my balls,0.0,0
term,explicit,0,1.0,partyism
expression,explicit,piece of shit,1.0,0
expression,explicit,piece of shit,1.0,0
term,explicit,whiny,1.0,0
term,explicit,whiny,1.0,0
expression,explicit,white trash folks,1.0,racism
term,explicit,liar,1.0,0
term,explicit,liar,1.0,0
term,explicit,scam,1.0,0
term,explicit,fraud,1.0,0
term,explicit,ameba,0.0,0
expression,explicit,turncoat,1.0,0
expression,explicit,raining on (someone's) parade,0.0,0
expression,explicit,salt your game,0.0,0
term,explicit,whore,1.0,sexism
term,explicit,hitman,1.0,0
term,explicit,greasy,0.0,0
term,explicit,greasy,0.0,0
term,explicit,shitty ,1.0,0
term,explicit,dumb and dumbier,1.0,0
term,explicit,dumb and dumbier,1.0,0
term,explicit,bad blood,1.0,0
expression,explicit,be the butt of the joke,0.0,0
term,explicit,butt of the joke,0.0,0
term,explicit,0,1.0,0
expression,explicit,damned party,1.0,partyism
expression,explicit,fuck you,1.0,0
term,explicit,dumb,1.0,0
expression,explicit,spineless,1.0,0
term,explicit,fool,1.0,0
expression,explicit,fuck you,1.0,0
term,explicit,trash bag,0.0,0
term,explicit,face,0.0,0
expression,explicit,assface,1.0,0
term,explicit,bitch,0.0,sexism
term,explicit,fool,1.0,0
expression,explicit,looking like you need to take a dump,1.0,0
term,explicit,unbearable,0.0,0
term,explicit,dishonest,1.0,0
term,explicit,dishonest,1.0,0
term,explicit,ugly ,1.0,0
expression,explicit,fucking liberals,1.0,partyism
term,explicit,tattler,1.0,0
term,explicit,tattler,1.0,0
term,explicit,oldie,1.0,0
term,explicit,butt of the joke,1.0,0
term,explicit,oldie,1.0,0
term,explicit,fuuuuuuuuck,1.0,0
term,explicit,fuck,1.0,0
expression,explicit,sexually flustered,1.0,sexism
term,explicit,innocent,0.0,0
term,explicit,retard,0.0,0
term,explicit,libtard,1.0,partyism
term,explicit,backlash,1.0,0
term,explicit,stupid,1.0,0
term,explicit,stupid,1.0,0
expression,explicit,discard / blow something off,1.0,0
expression,explicit,blow off,1.0,0
term,explicit,wet ass pussy,1.0,sexism
expression,explicit,piece of shit,1.0,0
term,explicit,rock bottom,0.0,0
term,explicit,rock bottom,0.0,0
term,explicit,micropenis,1.0,0
term,explicit,lib land,1.0,partyism
expression,explicit,jews from hell,1.0,antisemitism
term,explicit,in shambles,0.0,0
term,explicit,in shambles,0.0,0
term,explicit,crazy,1.0,0
term,explicit,crazy,1.0,0
term,explicit,misogynist ,1.0,0
term,explicit,pedophile,1.0,0
term,explicit,ramshackle,0.0,0
term,explicit,degenerate,1.0,0
expression,explicit,dirty mouth,0.0,0
term,explicit,fucked up,0.0,0
term,explicit,fucked up,0.0,0
term,explicit,go crazy,1.0,0
term,explicit,cynical,1.0,0
term,explicit,cynical,1.0,0
term,explicit,perv,1.0,0
term,explicit,perv,1.0,0
term,explicit,sick,0.0,0
term,explicit,sick,0.0,0
expression,explicit,retard,1.0,0
term,explicit,perv,1.0,0
term,explicit,perv,1.0,0
term,explicit,thug,1.0,0
term,explicit,fucking hell,1.0,0
term,explicit,mean,1.0,0
term,explicit,perv,1.0,0
expression,explicit,(to get) dumped,1.0,0
term,explicit,oldy,0.0,0
term,explicit,yuck,0.0,0
term,explicit,perv,1.0,0
term,explicit,perv,1.0,0
expression,explicit,freak show,1.0,0
term,explicit,miserable,1.0,0
term,explicit,sordid,1.0,0
term,explicit,sordid,1.0,0
term,explicit,nazi journalist,1.0,antisemitism
term,explicit,traitor,0.0,0
term,explicit,abject,1.0,0
term,explicit,jerk,1.0,0
term,explicit,Lucifer,0.0,0
term,explicit,second handed,0.0,0
term,explicit,second-hand,0.0,0
term,explicit,Christophobe,1.0,0
expression,explicit,yellow press,1.0,0
term,explicit,fuckery,1.0,0
term,explicit,barf,1.0,0
term,explicit,rapist,1.0,0
expression,explicit,poorly fucked,1.0,sexism
expression,explicit,poorly fucked,1.0,0
expression,explicit,second handed,0.0,0
term,explicit,posessed,1.0,0
term,explicit,pig,0.0,0
term,explicit,imbecile,1.0,0
term,explicit,wickedness,1.0,0
term,explicit,dumb shit,1.0,0
term,explicit,con,1.0,0
expression,explicit,con,1.0,0
term,explicit,coward,1.0,0
term,explicit,fag,1.0,homophobia
expression,explicit,closet faggot,1.0,homophobia
expression,explicit,batshit crazy,1.0,0
expression,explicit,batshit crazy,1.0,0
term,explicit,vandalism,1.0,0
term,explicit,cynical,0.0,0
term,explicit,cynical,0.0,0
term,explicit,frustrated,1.0,0
term,explicit,revolted,1.0,0
term,explicit,tyrant,1.0,0
term,explicit,demiurge,0.0,0
term,explicit,satanist,1.0,0
term,explicit,freak,1.0,0
term,explicit,obnoxious / loudmouth,1.0,0
term,explicit,fucker,1.0,0
term,explicit,fucker,1.0,0
term,explicit,devilsh,1.0,0
term,explicit,devilish,1.0,0
term,explicit,shady,0.0,0
term,explicit,shady,0.0,0
term,explicit,devilish,1.0,0
term,explicit,yikes,0.0,0
term,explicit,yikes,1.0,0
term,explicit,yikes,1.0,0
term,explicit,crazy,0.0,0
term,explicit,hysterical,0.0,sexism
term,explicit,0,1.0,partyism
term,explicit,commie,1.0,partyism
term,explicit,arsonist,1.0,0
term,explicit,to piss off,1.0,0
term,explicit,piece of shit,0.0,0
term,explicit,dirtbag,0.0,0
term,explicit,brawler,1.0,0
term,explicit,brawler,1.0,0
term,explicit,rotten,1.0,0
term,explicit,dirtbag,0.0,0
term,explicit,troublemaker,1.0,0
term,explicit,rotten,0.0,0
term,explicit,devil,0.0,0
expression,explicit,closet faggot,1.0,homophobia
term,explicit,con man,1.0,0
term,explicit,misgovernment,1.0,0
expression,explicit,whitewashed tomb,1.0,0
term,explicit,satan,0.0,0
expression,explicit,fake moralist,1.0,0
term,explicit,devil,0.0,0
expression,explicit,second-rate,1.0,0
term,explicit,reckless,1.0,0
expression,explicit,religion fucked,1.0,religious intolerance
expression,explicit,religion fucked,1.0,religious intolerance
expression,explicit,german shepherd,1.0,religious intolerance
term,explicit,pharisian / traitor,0.0,0
term,explicit,pussy,1.0,0
expression,explicit,false shepherd,1.0,religious intolerance
term,explicit,hypochristian,1.0,religious intolerance
term,explicit,satan,1.0,0
term,explicit,vile,1.0,0
term,explicit,sick,1.0,0
term,explicit,gangster,1.0,0
term,explicit,crook,1.0,0
term,explicit,pariah,0.0,0
term,explicit,cuck / cuckold,1.0,0
term,explicit,cuck / cuckold,1.0,0
term,explicit,faggot,1.0,homophobia
term,explicit,closet faggot,1.0,homophobia
term,explicit,dumb,0.0,0
term,explicit,loser,0.0,0
term,explicit,pitty,0.0,0
term,explicit,mummy,0.0,0
term,explicit,damned,0.0,0
term,explicit,damend,0.0,0
term,explicit,traitor,1.0,0
term,explicit,petty,1.0,0
term,explicit,petty,1.0,0
term,explicit,dangerous,0.0,0
term,explicit,dangerous,0.0,0
term,explicit,bitch,1.0,0
term,explicit,submissive,0.0,0
term,explicit,abnormal,1.0,0
term,explicit,abnormal,1.0,0
term,explicit,fraud,1.0,0
term,explicit,hell with,1.0,0
term,explicit,freaked out,1.0,0
term,explicit,freak out,1.0,0
term,explicit,mean,1.0,0
term,explicit,mean,1.0,0
term,explicit,viper,0.0,0
term,explicit,hogbody,0.0,fatphobia
term,explicit,hogbody,0.0,fatphobia
term,explicit,freaking out,0.0,0
term,explicit,loser,0.0,0
term,explicit,loser,0.0,0
term,explicit,decadent,0.0,0
term,explicit,feminazi,1.0,sexism
term,explicit,voodoo,0.0,religious intolerance
term,explicit,voodoo,0.0,religious intolerance
term,explicit,evil spirit,0.0,0
term,explicit,wretched,1.0,0
term,explicit,beast,1.0,0
term,explicit,drug dealer,1.0,0
term,explicit,0,1.0,partyism
term,explicit,0,1.0,partyism
expression,explicit,fuck off,1.0,0
term,explicit,trouble,1.0,0
term,explicit,repulsive,1.0,0
term,explicit,elitist,0.0,0
term,explicit,unreasonable,1.0,0
term,explicit,unreasonable,1.0,0
term,explicit,commies,0.0,partyism
term,explicit,ass,0.0,0
term,explicit,0,1.0,partyism
term,explicit,robot,0.0,0
term,explicit,little robot,0.0,0
term,explicit,dictator,0.0,0
term,explicit,smug,1.0,0
term,explicit,useless,0.0,0
term,explicit,useless,0.0,0
term,explicit,prick,1.0,0
term,explicit,take a dump,0.0,0
term,explicit,juvie,1.0,0
term,explicit,cuckold / cuck,0.0,0
term,explicit,cuckold / cuck,0.0,0
term,explicit,robber,1.0,0
term,explicit,0,1.0,partyism
term,explicit,0,1.0,apology  to  dictatorship
expression,explicit,dicatorship widow,1.0,apology  to  dictatorship
expression,explicit,poor democrat,1.0,partyism
